username,source,discovered_at
1291331532,apify_hashtag:#mentalhealthawareness,2026-04-08T16:05:48.555333+00:00
1298902100,apify_hashtag:#enoughmovement,2026-04-08T16:05:48.555333+00:00
1303837350984629,apify_hashtag:#enoughmovement,2026-04-08T16:05:48.555333+00:00
1326188959070628,apify_hashtag:#mentalhealth,2026-04-08T16:05:48.555333+00:00
1335686244,apify_hashtag:#mentalhealthadvocate,2026-04-08T16:05:48.555333+00:00
1352607098870069,apify_hashtag:#mentalhealthadvocate,2026-04-08T16:05:48.555333+00:00
13handsequine,apify_hashtag:#mentalhealthawareness,2026-04-08T16:05:48.555333+00:00
13handsequinerescue,apify_hashtag:#mentalhealthawareness,2026-04-08T16:05:48.555333+00:00
1433760960515473,apify_hashtag:#mentalhealthadvocate,2026-04-08T16:05:48.555333+00:00
1474151,apify_hashtag:#mentalhealthawareness,2026-04-08T16:05:48.555333+00:00
15014582692,apify_hashtag:#mentalhealth,2026-04-08T16:05:48.555333+00:00
1509236853649402,apify_hashtag:#mentalhealth,2026-04-08T16:05:48.555333+00:00
1569378699,apify_hashtag:#therapy,2026-04-08T16:05:48.555333+00:00
1593852191440574,apify_hashtag:#mentalhealth,2026-04-08T16:05:48.555333+00:00
159504299482562,apify_hashtag:#enoughmovement,2026-04-08T16:05:48.555333+00:00
1650256643,apify_hashtag:#enoughmovement,2026-04-08T16:05:48.555333+00:00
1650861132029778,apify_hashtag:#mentalhealthadvocate,2026-04-08T16:05:48.555333+00:00
1712168773075082,apify_hashtag:#mentalhealthawareness,2026-04-08T16:05:48.555333+00:00
173563341,apify_hashtag:#mentalhealth,2026-04-08T16:05:48.555333+00:00
1745159319,apify_hashtag:#mentalhealth,2026-04-08T16:05:48.555333+00:00
17471357,apify_hashtag:#mentalhealthawareness,2026-04-08T16:05:48.555333+00:00
1764862119,apify_hashtag:#therapy,2026-04-08T16:05:48.555333+00:00
1805372360055533,apify_hashtag:#mentalhealthawareness,2026-04-08T16:05:48.555333+00:00
1805992326246734663,apify_hashtag:#mentalhealthawareness,2026-04-08T16:05:48.555333+00:00
18121640134104619,apify_hashtag:#mentalhealth,2026-04-08T16:05:48.555333+00:00
18123848590104531,apify_hashtag:#mentalhealthawareness,2026-04-08T16:05:48.555333+00:00
18147320533034328,apify_hashtag:#mentalhealth,2026-04-08T16:05:48.555333+00:00
18149637505081289,apify_hashtag:#therapy,2026-04-08T16:05:48.555333+00:00
18158972083004192,apify_hashtag:#enoughmovement,2026-04-08T16:05:48.555333+00:00
18161013850107554,apify_hashtag:#mentalhealth,2026-04-08T16:05:48.555333+00:00
18179212348063211,apify_hashtag:#enoughmovement,2026-04-08T16:05:48.555333+00:00
18182752159067095,apify_hashtag:#mentalhealthawareness,2026-04-08T16:05:48.555333+00:00
18268348768110704,apify_hashtag:#mentalhealthadvocate,2026-04-08T16:05:48.555333+00:00
18274262089075060,apify_hashtag:#therapy,2026-04-08T16:05:48.555333+00:00
18275734840024604,apify_hashtag:#mentalhealthadvocate,2026-04-08T16:05:48.555333+00:00
18292552174001810,apify_hashtag:#enoughmovement,2026-04-08T16:05:48.555333+00:00
18320379928055675,apify_hashtag:#enoughmovement,2026-04-08T16:05:48.555333+00:00
18326625457015257,apify_hashtag:#therapy,2026-04-08T16:05:48.555333+00:00
18329083873127518,apify_hashtag:#mentalhealthadvocate,2026-04-08T16:05:48.555333+00:00
18337963837049159,apify_hashtag:#therapy,2026-04-08T16:05:48.555333+00:00
18376588075034741,apify_hashtag:#anxietyhelp,2026-04-08T16:05:48.555333+00:00
1838454177,apify_hashtag:#mentalhealthadvocate,2026-04-08T16:05:48.555333+00:00
18385874008000120,apify_hashtag:#mentalhealthadvocate,2026-04-08T16:05:48.555333+00:00
